sample_id,score
560,2.0
561,2.0
562,2.5
563,1.0
564,2.0
565,1.5
566,0.5
567,1.5
568,3.0
569,0.0
570,3.0
571,0.5
572,0.0
573,0.0
574,2.5
575,0.5
576,3.0
577,0.5
578,1.0
579,0.5
580,0.5
581,0.5
582,0.5
583,3.0
584,3.0
585,1.0
586,2.5
587,2.5
588,1.0
589,0.0
590,2.5
591,0.0
592,2.5
593,0.5
594,2.5
595,0.5
596,0.5
597,3.0
598,2.5
599,3.0
600,2.5
601,2.5
602,0.5
603,3.0
604,0.5
605,0.5
606,2.5
607,3.0
608,3.5
609,2.5
610,0.0
611,2.5
612,3.0
613,0.0
614,3.0
615,2.0
616,1.5
617,1.0
618,1.0
619,3.0
620,1.0
621,0.0
622,2.0
623,3.0
624,1.0
625,0.0
626,2.5
627,0.0
628,3.5
629,2.5
630,0.0
631,1.0
632,0.0
633,2.5
634,2.5
635,0.0
636,2.5
637,0.0
638,2.5
639,0.0
