sample_id,score
160,0.0
161,5.0
162,4.5
163,4.5
164,5.0
165,2.5
166,3.5
167,5.0
168,5.0
169,5.0
170,5.0
171,5.0
172,5.0
173,4.5
174,5.0
175,5.0
176,4.0
177,5.0
178,4.5
179,5.0
180,4.0
181,4.5
182,5.0
183,5.0
184,3.5
185,4.5
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.5
196,4.5
197,4.5
198,4.5
199,4.0
200,1.0
201,1.0
202,1.5
203,4.5
204,4.5
205,4.5
206,4.0
207,4.5
208,4.5
209,4.5
210,3.5
211,4.5
212,5.0
213,4.5
214,4.5
215,5.0
216,5.0
217,4.0
218,5.0
219,4.5
220,5.0
221,5.0
222,5.0
223,1.5
224,4.0
225,5.0
226,5.0
227,4.5
228,4.5
229,4.5
230,5.0
231,5.0
232,2.0
233,5.0
234,1.0
235,1.5
236,4.0
237,2.5
238,5.0
239,4.5
