sample_id,score
560,3.0
561,3.0
562,3.0
563,2.0
564,3.5
565,3.5
566,1.0
567,2.5
568,4.0
569,0.0
570,4.5
571,1.5
572,0.5
573,0.0
574,3.5
575,1.5
576,3.0
577,3.5
578,2.5
579,2.0
580,1.0
581,1.0
582,1.0
583,4.5
584,4.0
585,3.0
586,4.0
587,3.0
588,4.5
589,0.0
590,4.0
591,0.5
592,2.5
593,1.0
594,2.5
595,1.5
596,1.5
597,2.0
598,2.5
599,4.5
600,4.5
601,4.0
602,2.0
603,4.5
604,2.0
605,1.0
606,2.5
607,4.5
608,4.5
609,3.5
610,0.0
611,5.0
612,4.5
613,0.0
614,4.5
615,3.5
616,4.5
617,2.5
618,3.0
619,4.5
620,2.0
621,0.0
622,3.0
623,4.5
624,3.0
625,0.0
626,4.5
627,0.0
628,4.0
629,3.5
630,0.0
631,3.5
632,1.0
633,4.0
634,3.5
635,0.0
636,3.0
637,0.0
638,3.5
639,0.0
