sample_id,score
400,4.5
401,4.5
402,4.0
403,3.0
404,2.0
405,3.5
406,3.0
407,4.0
408,4.5
409,4.0
410,3.5
411,3.5
412,3.0
413,3.0
414,3.0
415,3.0
416,3.5
417,4.0
418,4.5
419,4.0
420,0.0
421,3.0
422,3.0
423,1.5
424,3.5
425,4.0
426,3.5
427,0.0
428,1.5
429,2.5
430,1.0
431,2.0
432,0.0
433,0.0
434,3.5
435,0.0
436,2.5
437,4.5
438,4.5
439,1.5
440,3.5
441,0.5
442,2.5
443,2.0
444,3.5
445,2.5
446,3.0
447,3.0
448,2.0
449,1.0
450,1.0
451,0.0
452,0.5
453,0.0
454,3.0
455,4.0
456,5.0
457,4.0
458,4.0
459,2.5
460,4.0
461,5.0
462,4.0
463,4.0
464,4.0
465,5.0
466,4.0
467,3.0
468,3.0
469,4.5
470,3.0
471,2.5
472,3.5
473,2.5
474,3.5
475,5.0
476,4.0
477,3.5
478,3.0
479,1.0
