sample_id,score
480,4.5
481,1.5
482,3.5
483,4.5
484,4.5
485,3.5
486,4.5
487,3.0
488,1.0
489,3.0
490,3.0
491,4.5
492,3.5
493,0.0
494,5.0
495,3.5
496,0.5
497,4.5
498,2.5
499,4.0
500,2.0
501,2.5
502,2.5
503,1.0
504,1.0
505,1.5
506,1.5
507,0.5
508,3.5
509,1.5
510,3.0
511,1.0
512,3.0
513,1.0
514,3.5
515,0.5
516,1.5
517,0.5
518,0.5
519,3.0
520,1.0
521,2.5
522,3.0
523,0.0
524,3.0
525,2.0
526,3.5
527,3.0
528,0.5
529,1.0
530,2.5
531,0.0
532,3.5
533,4.0
534,1.5
535,3.5
536,2.5
537,3.5
538,2.5
539,2.5
540,2.5
541,1.0
542,0.0
543,1.0
544,1.0
545,2.0
546,0.5
547,1.5
548,1.0
549,0.5
550,3.5
551,0.0
552,2.0
553,0.5
554,2.0
555,0.0
556,1.0
557,2.0
558,2.5
559,1.5
