sample_id,score
0,2.0
1,5.0
2,4.5
3,3.0
4,5.0
5,5.0
6,5.0
7,0.0
8,5.0
9,5.0
10,5.0
11,3.5
12,5.0
13,5.0
14,5.0
15,1.5
16,5.0
17,3.0
18,3.5
19,5.0
20,3.0
21,5.0
22,5.0
23,5.0
24,2.0
25,5.0
26,5.0
27,5.0
28,3.0
29,0.0
30,1.0
31,0.0
32,0.0
33,5.0
34,1.0
35,0.5
36,1.0
37,2.0
38,1.0
39,0.0
40,5.0
41,5.0
42,5.0
43,5.0
44,5.0
45,0.0
46,3.0
47,1.5
48,5.0
49,5.0
50,1.0
51,5.0
52,5.0
53,4.0
54,5.0
55,1.0
56,1.5
57,1.5
58,3.0
59,5.0
60,1.0
61,3.5
62,1.0
63,5.0
64,3.5
65,1.0
66,5.0
67,3.5
68,2.0
69,0.0
70,5.0
71,5.0
72,4.5
73,5.0
74,5.0
75,1.5
76,5.0
77,1.0
78,5.0
79,5.0
