sample_id,score
80,5.0
81,5.0
82,4.5
83,5.0
84,4.5
85,4.5
86,4.5
87,5.0
88,5.0
89,3.0
90,5.0
91,5.0
92,5.0
93,5.0
94,3.0
95,4.5
96,4.5
97,2.0
98,4.0
99,2.0
100,1.5
101,1.0
102,0.5
103,5.0
104,5.0
105,4.5
106,5.0
107,4.5
108,5.0
109,0.0
110,2.5
111,0.0
112,2.5
113,4.0
114,4.0
115,4.5
116,3.5
117,4.0
118,5.0
119,4.0
120,5.0
121,4.0
122,5.0
123,4.5
124,5.0
125,5.0
126,4.5
127,4.5
128,4.5
129,5.0
130,5.0
131,5.0
132,5.0
133,5.0
134,5.0
135,5.0
136,5.0
137,5.0
138,5.0
139,5.0
140,5.0
141,5.0
142,5.0
143,5.0
144,5.0
145,5.0
146,5.0
147,5.0
148,5.0
149,1.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.5
158,0.0
159,0.0
