sample_id,score
0,5.0
1,4.5
2,2.0
3,2.0
4,3.5
5,1.5
6,5.0
7,3.5
8,1.5
9,2.5
10,1.5
11,4.5
12,2.0
13,5.0
14,4.5
15,5.0
16,4.5
17,4.5
18,2.0
19,4.0
20,4.5
21,4.5
22,4.5
23,2.5
24,4.5
25,2.5
26,5.0
27,2.0
28,2.5
29,3.0
30,2.5
31,2.0
32,2.0
33,5.0
34,2.5
35,4.5
36,4.0
37,2.0
38,4.5
39,3.5
40,2.0
41,1.0
42,2.5
43,2.0
44,4.5
45,4.5
46,4.0
47,3.5
48,2.0
49,4.5
50,3.5
51,3.5
52,4.5
53,4.0
54,2.5
55,4.5
56,2.5
57,4.5
58,3.5
59,4.5
60,3.5
61,3.0
62,2.0
63,2.5
64,4.0
65,4.0
66,3.0
67,2.5
68,2.5
69,4.5
70,3.5
71,4.0
72,4.0
73,2.0
74,2.5
75,4.5
76,4.5
77,3.0
78,2.0
79,3.5
