sample_id,score
480,4.5
481,2.0
482,4.5
483,4.0
484,5.0
485,4.0
486,5.0
487,4.0
488,1.5
489,4.0
490,3.5
491,4.5
492,3.5
493,0.0
494,5.0
495,4.0
496,2.5
497,5.0
498,2.0
499,5.0
500,3.0
501,4.5
502,4.0
503,2.5
504,2.5
505,3.0
506,3.0
507,1.0
508,3.5
509,3.5
510,4.5
511,3.0
512,4.5
513,3.5
514,4.0
515,2.5
516,3.0
517,2.5
518,2.5
519,4.0
520,3.0
521,3.0
522,4.0
523,0.0
524,5.0
525,2.5
526,4.0
527,3.0
528,1.0
529,3.0
530,2.0
531,0.0
532,2.5
533,3.5
534,1.5
535,3.0
536,2.5
537,3.0
538,2.5
539,3.5
540,3.5
541,1.0
542,0.0
543,1.5
544,1.0
545,2.5
546,0.5
547,3.0
548,1.5
549,0.5
550,3.5
551,0.0
552,2.0
553,0.5
554,2.5
555,0.0
556,1.0
557,3.0
558,2.5
559,2.0
