sample_id,score
160,0.5
161,5.0
162,4.5
163,3.0
164,5.0
165,3.0
166,3.5
167,4.5
168,5.0
169,5.0
170,5.0
171,5.0
172,5.0
173,4.5
174,4.5
175,0.0
176,4.0
177,5.0
178,3.0
179,5.0
180,3.0
181,4.5
182,5.0
183,4.5
184,4.5
185,3.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,3.0
196,4.0
197,4.0
198,4.0
199,4.5
200,2.0
201,2.0
202,3.0
203,3.0
204,3.0
205,2.0
206,3.0
207,4.5
208,4.5
209,4.5
210,4.5
211,5.0
212,5.0
213,5.0
214,4.5
215,4.5
216,4.5
217,4.5
218,4.5
219,4.5
220,4.5
221,4.0
222,4.5
223,4.5
224,4.5
225,4.5
226,4.5
227,4.5
228,4.5
229,4.5
230,4.5
231,4.5
232,2.0
233,5.0
234,3.0
235,1.0
236,4.5
237,4.5
238,4.5
239,4.5
