sample_id,score
400,5.0
401,3.0
402,5.0
403,5.0
404,5.0
405,5.0
406,3.0
407,5.0
408,5.0
409,2.0
410,3.0
411,2.0
412,1.0
413,3.0
414,1.0
415,5.0
416,5.0
417,3.0
418,5.0
419,4.5
420,5.0
421,0.0
422,2.0
423,0.0
424,4.0
425,4.0
426,0.0
427,0.0
428,3.0
429,2.0
430,4.5
431,4.0
432,2.0
433,2.5
434,1.0
435,5.0
436,3.5
437,5.0
438,5.0
439,4.5
440,5.0
441,5.0
442,5.0
443,5.0
444,5.0
445,5.0
446,4.5
447,4.5
448,5.0
449,5.0
450,5.0
451,5.0
452,5.0
453,5.0
454,3.0
455,3.0
456,4.5
457,3.0
458,4.5
459,4.5
460,4.5
461,2.0
462,5.0
463,3.0
464,4.5
465,2.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,2.0
