sample_id,score
320,2.0
321,2.5
322,3.0
323,4.0
324,4.0
325,3.0
326,3.5
327,3.0
328,4.0
329,3.0
330,2.5
331,3.0
332,2.5
333,4.0
334,4.0
335,4.0
336,2.5
337,4.0
338,3.0
339,4.0
340,4.0
341,0.0
342,1.0
343,0.5
344,0.5
345,2.5
346,0.5
347,0.5
348,1.0
349,0.5
350,1.0
351,0.0
352,3.0
353,3.0
354,3.0
355,3.0
356,3.0
357,0.0
358,3.0
359,1.0
360,3.0
361,3.0
362,1.0
363,3.0
364,3.0
365,1.0
366,2.0
367,1.0
368,1.0
369,1.0
370,2.0
371,2.5
372,1.0
373,1.0
374,1.0
375,5.0
376,2.5
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,3.0
383,4.5
384,4.0
385,4.0
386,1.0
387,2.5
388,4.0
389,2.5
390,2.0
391,4.0
392,3.0
393,4.0
394,2.5
395,3.0
396,3.0
397,2.5
398,4.0
399,5.0
