id,human_score,cllm_score,c5_score,cllm_abs_error,c5_abs_error,c5_wins,matched_concepts,n_matched_concepts,chain_pct,solo,bloom
0,5.0,5.0,5.0,0.0,0.0,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
1,5.0,4.5,4.5,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
2,2.5,2.0,2.0,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
3,5.0,2.0,2.5,3.0,2.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process,5,83%,Relational,Remember
4,5.0,3.5,4.5,1.5,0.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
5,2.5,1.5,2.5,1.0,0.0,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Remember
6,5.0,5.0,4.5,0.0,0.5,0,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process,5,83%,Relational,Analyze
7,5.0,3.5,4.5,1.5,0.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
8,5.0,1.5,2.5,3.5,2.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Remember
9,5.0,2.5,4.0,2.5,1.0,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Analyze
10,2.5,1.5,3.0,1.0,0.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
11,5.0,4.5,5.0,0.5,0.0,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
12,5.0,2.0,2.0,3.0,3.0,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Remember
13,5.0,5.0,5.0,0.0,0.0,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
14,5.0,4.5,4.5,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
15,5.0,5.0,5.0,0.0,0.0,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
16,5.0,4.5,4.5,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
17,5.0,4.5,5.0,0.5,0.0,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
18,5.0,2.0,2.0,3.0,3.0,tie,synaptic_weights|processing_unit|artificial_neural_network|learning_process|human_brain,5,83%,Relational,Remember
19,5.0,4.0,4.5,1.0,0.5,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
20,5.0,4.5,4.5,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
21,5.0,4.5,4.5,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
22,5.0,4.5,4.5,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
23,2.5,2.5,3.0,0.0,0.5,0,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
24,5.0,4.5,5.0,0.5,0.0,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
25,2.5,2.5,3.5,0.0,1.0,0,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Remember
26,5.0,5.0,4.5,0.0,0.5,0,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
27,2.5,2.0,3.0,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Analyze
28,2.5,2.5,2.5,0.0,0.0,tie,processing_unit|artificial_neural_network|learning_process|experiential_knowledge,4,67%,Relational,Understand
29,5.0,3.0,4.0,2.0,1.0,1,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Analyze
30,2.5,2.5,3.5,0.0,1.0,0,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Remember
31,2.5,2.0,3.5,0.5,1.0,0,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
32,2.5,2.0,2.0,0.5,0.5,tie,processing_unit|synaptic_weights|artificial_neural_network|human_brain,4,67%,Relational,Remember
33,5.0,5.0,4.5,0.0,0.5,0,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
34,2.5,2.5,2.0,0.0,0.5,0,processing_unit|artificial_neural_network|learning_process,3,50%,Multistructural,Understand
35,5.0,4.5,4.5,0.5,0.5,tie,processing_unit|artificial_neural_network|human_brain|synaptic_weights|learning_process|experiential_knowledge,6,100%,Extended Abstract,Understand
